 TIME (ms)      DELTA_TEMP (K) AVG_TEMP (K)   
 ============== ============== ============== 
  1.8388357E+10 -7.6810036E+00  3.2766998E+02 
  1.8388795E+10 -7.2840004E+00  3.2766998E+02 
  1.8392265E+10 -6.1470032E+00  3.2766998E+02 
  1.8395746E+10 -5.8760033E+00  3.2766998E+02 
  1.8397917E+10 -5.7820015E+00  3.2766998E+02 
  1.8401395E+10 -5.6900024E+00  3.2766998E+02 
  1.8404876E+10 -5.5990028E+00  3.2766998E+02 
  1.8406617E+10 -5.5350037E+00  3.2766998E+02 
  1.8410095E+10 -5.4060020E+00  3.2766998E+02 
  1.8413564E+10 -5.2300034E+00  3.2766998E+02 
  1.8417046E+10 -5.0890007E+00  3.2766998E+02 
  1.8420527E+10 -5.0340004E+00  3.2766998E+02 
  1.8424435E+10 -4.9510002E+00  3.2766998E+02 
  1.8427916E+10 -5.0290031E+00  3.2766998E+02 
  1.8431398E+10 -5.0230026E+00  3.2766998E+02 
  1.8434867E+10 -5.0560036E+00  3.2766998E+02 
  1.8438345E+10 -5.0990028E+00  3.2766998E+02 
  1.8441826E+10 -5.1620026E+00  3.2766998E+02 
  1.8445308E+10 -5.2320023E+00  3.2766998E+02 
  1.8448347E+10 -5.3260002E+00  3.2766998E+02 
  1.8451825E+10 -5.4330025E+00  3.2766998E+02 
  1.8455294E+10 -5.6560020E+00  3.2766998E+02 
  1.8458776E+10 -5.8460007E+00  3.2766998E+02 
  1.8461815E+10 -6.0430031E+00  3.2766998E+02 
  1.8466497E+10 -1.1390018E+00  3.1910999E+02 
  1.8469974E+10 -7.2100067E-01  2.9816998E+02 
  1.8470834E+10 -1.5180006E+00  2.9487000E+02 
  1.8471707E+10 -1.7350006E+00  2.9190997E+02 
  1.8475184E+10 -2.7910004E+00  2.8264996E+02 
  1.8478666E+10 -3.3260002E+00  2.7617999E+02 
  1.8482135E+10 -3.6830006E+00  2.7156000E+02 
  1.8485617E+10 -3.9800005E+00  2.6808997E+02 
  1.8489094E+10 -2.5500011E-01  2.6553998E+02 
  1.8492576E+10 -5.2800035E-01  2.6351996E+02 
  1.8496045E+10 -7.8100014E-01  2.6193994E+02 
  1.8499527E+10 -1.0230002E+00  2.6075000E+02 
  1.8503004E+10 -1.2560000E+00  2.5970996E+02 
  1.8506486E+10 -1.4630003E+00  2.5893994E+02 
  1.8509955E+10 -1.6610003E+00  2.5817999E+02 
  1.8510836E+10 -1.7030001E+00  2.5794995E+02 
  1.8511704E+10 -1.7500000E+00  2.5787994E+02 
  1.8515177E+10 -1.9190001E+00  2.5729999E+02 
  1.8518548E+10 -6.5000057E-02  2.5689996E+02 
  1.8522030E+10 -2.0600009E-01  2.5646997E+02 
  1.8525508E+10 -3.3600020E-01  2.5606995E+02 
  1.8528981E+10 -4.5300007E-01  2.5581998E+02 
  1.8532458E+10 -5.6200004E-01  2.5545999E+02 
  1.8535940E+10 -6.6000009E-01  2.5520999E+02 
  1.8541908E+10 -8.1200004E-01  2.5484998E+02 
  1.8545390E+10 -8.9000010E-01  2.5466998E+02 
  1.8548871E+10 -9.6200013E-01  2.5450000E+02 
  1.8552349E+10 -2.9000044E-02  2.5428998E+02 
  1.8555818E+10 -9.2000008E-02  2.5409998E+02 
  1.8557559E+10 -1.2000000E-01  2.5406998E+02 
  1.8558001E+10 -1.2800002E-01  2.5406998E+02 
  1.8561479E+10 -1.8300009E-01  2.5391998E+02 
  1.8564948E+10 -2.3400009E-01  2.5378998E+02 
  1.8568430E+10 -2.8100002E-01  2.5371997E+02 
  1.8571911E+10 -3.2600009E-01  2.5353998E+02 
  1.8575389E+10 -3.6700010E-01  2.5345999E+02 
  1.8578858E+10 -4.0600002E-01  2.5339999E+02 
  1.8585440E+10 -4.7300005E-01  2.5318997E+02 
  1.8588918E+10 -6.0000420E-03  2.5312000E+02 
  1.8590220E+10 -1.7000020E-02  2.5307999E+02 
  1.8593698E+10 -4.7000051E-02  2.5304999E+02 
  1.8597171E+10 -7.5000048E-02  2.5293997E+02 
  1.8600649E+10 -1.0100001E-01  2.5287000E+02 
  1.8604130E+10 -1.2600005E-01  2.5287000E+02 
  1.8607608E+10 -1.5000004E-01  2.5279999E+02 
  1.8611081E+10 -1.7300004E-01  2.5272998E+02 
  1.8614559E+10 -1.9300002E-01  2.5265997E+02 
  1.8618040E+10 -2.1400005E-01  2.5262997E+02 
  1.8621518E+10 -2.3200005E-01  2.5256000E+02 
  1.8624991E+10 -2.5000000E-01  2.5256000E+02 
  1.8628039E+10 -1.6000003E-02  2.5251999E+02 
  1.8632331E+10 -3.6000013E-02  2.5244998E+02 
  1.8635809E+10 -5.2000016E-02  2.5241998E+02 
  1.8639278E+10 -6.6000015E-02  2.5231000E+02 
  1.8642760E+10 -8.0000013E-02  2.5231000E+02 
  1.8643628E+10 -8.4000021E-02  2.5231000E+02 
  1.8644070E+10 -8.5000008E-02  2.5228000E+02 
  1.8647548E+10 -9.8000020E-02  2.5228000E+02 
  1.8651021E+10 -1.1100000E-01  2.5228000E+02 
  1.8654499E+10 -1.2300003E-01  2.5223999E+02 
  1.8657980E+10 -1.0000005E-02  2.5216998E+02 
  1.8661458E+10 -2.1000013E-02  2.5210999E+02 
  1.8664931E+10 -3.1000003E-02  2.5210999E+02 
  1.8673238E+10 -5.4000005E-02  2.5206998E+02 
  1.8676179E+10 -6.2000006E-02  2.5200000E+02 
  1.8679661E+10 -8.5000023E-03  2.5201999E+02 
  1.8681831E+10 -1.3500005E-02  2.5195999E+02 
  1.8685309E+10 -2.1500006E-02  2.5192999E+02 
  1.8688791E+10 -2.9500000E-02  2.5189999E+02 
  1.8691387E+10 -3.2500029E-03  2.5189999E+02 
  1.8694869E+10 -1.0250002E-02  2.5189999E+02 
  1.8698351E+10 -1.6250014E-03  2.5185999E+02 
  1.8701828E+10 -8.1250072E-04  2.5179999E+02 
  1.8705297E+10 -9.5312507E-04  2.5178998E+02 
  1.8708779E+10  4.9999999E-03  2.5182999E+02 
  1.8712261E+10  1.1000000E-02  2.5178998E+02 
  1.8715738E+10  1.5999999E-02  2.5175998E+02 
  1.8719207E+10  2.2000000E-02  2.5175998E+02 
  1.8722689E+10  2.6999999E-02  2.5175998E+02 
  1.8726171E+10  3.1999998E-02  2.5172998E+02 
  1.8729648E+10  3.5999998E-02  2.5172998E+02 
  1.8730521E+10  3.7999995E-02  2.5172998E+02 
  1.8733998E+10  4.1999996E-02  2.5168997E+02 
  1.8737467E+10  4.5999996E-02  2.5165997E+02 
  1.8740081E+10  4.8999995E-02  2.5165997E+02 
  1.8743558E+10  5.2999996E-02  2.5164999E+02 
  1.8747027E+10  5.6999996E-02  2.5162000E+02 
  1.8750509E+10  6.0999997E-02  2.5162000E+02 
  1.8753991E+10  6.3999996E-02  2.5162000E+02 
  1.8758341E+10  6.8999991E-02  2.5156000E+02 
  1.8761818E+10  7.1999997E-02  2.5156000E+02 
  1.8765509E+10  7.3999986E-02  2.5156000E+02 
  1.8768990E+10  7.7999994E-02  2.5148999E+02 
  1.8772468E+10  7.9999998E-02  2.5156000E+02 
