 TIME (ms)      DELTA_TEMP (K) AVG_TEMP (K)   
  1.9131466E+10 -1.4970016E+00  2.9853998E+02 
  1.9134935E+10 -1.5140038E+00  2.9839996E+02 
  1.9138417E+10 -1.4980011E+00  2.9837000E+02 
  1.9141894E+10 -1.5100021E+00  2.9825995E+02 
  1.9145376E+10 -1.5160027E+00  2.9820996E+02 
  1.9148845E+10 -1.5230026E+00  2.9806995E+02 
  1.9152327E+10 -1.5340004E+00  2.9803998E+02 
  1.9155804E+10 -1.5350037E+00  2.9793994E+02 
  1.9159286E+10 -1.5410004E+00  2.9788995E+02 
  1.9162325E+10 -1.5410004E+00  2.9779999E+02 
  1.9162755E+10 -1.5410004E+00  2.9779999E+02 
  1.9165807E+10 -1.5420036E+00  2.9769995E+02 
  1.9169284E+10 -1.5600014E+00  2.9758997E+02 
  1.9172758E+10 -1.5610008E+00  2.9746997E+02 
  1.9176235E+10 -1.5720024E+00  2.9741998E+02 
  1.9179717E+10 -1.5680008E+00  2.9731995E+02 
  1.9181015E+10 -1.5730019E+00  2.9731995E+02 
  1.9183194E+10 -1.5850029E+00  2.9722998E+02 
  1.9183624E+10 -1.5850029E+00  2.9721997E+02 
  1.9187106E+10 -1.5910034E+00  2.9712994E+02 
  1.9190587E+10 -1.5980034E+00  2.9695996E+02 
  1.9193786E+10 -1.6050034E+00  2.9685999E+02 
  1.9196838E+10 -1.6110001E+00  2.9671997E+02 
  1.9199877E+10 -1.6280022E+00  2.9663995E+02 
  1.9203355E+10 -1.6350021E+00  2.9652997E+02 
  1.9206824E+10 -1.6410027E+00  2.9644995E+02 
  1.9210306E+10 -1.6540031E+00  2.9625000E+02 
  1.9213787E+10 -1.6540031E+00  2.9615997E+02 
  1.9217265E+10 -1.6720009E+00  2.9601996E+02 
  1.9220734E+10 -1.6730003E+00  2.9588995E+02 
  1.9224216E+10 -1.6850014E+00  2.9578998E+02 
  1.9227697E+10 -1.6920013E+00  2.9559998E+02 
  1.9231175E+10 -1.7210007E+00  2.9541998E+02 
  1.9234214E+10 -1.7160034E+00  2.9532996E+02 
  1.9237695E+10 -1.7340012E+00  2.9519995E+02 
  1.9241165E+10 -1.7460022E+00  2.9503998E+02 
  1.9243344E+10 -1.7910004E+00  2.9426996E+02 
  1.9257254E+10 -1.7900009E+00  2.9434998E+02 
  1.9260735E+10 -1.8140030E+00  2.9407996E+02 
  1.9264205E+10 -1.8150024E+00  2.9394995E+02 
  1.9267686E+10 -1.8220024E+00  2.9376996E+02 
  1.9271164E+10 -1.8450012E+00  2.9362000E+02 
  1.9274646E+10 -1.8470001E+00  2.9334998E+02 
  1.9278115E+10 -1.8700027E+00  2.9319995E+02 
  1.9281596E+10 -1.8830032E+00  2.9300000E+02 
  1.9284697E+10 -1.9010010E+00  2.9281000E+02 
  1.9288175E+10 -1.9130020E+00  2.9266998E+02 
  1.9291644E+10 -1.9310036E+00  2.9242999E+02 
  1.9295126E+10 -1.9430008E+00  2.9225000E+02 
  1.9298607E+10 -1.9610023E+00  2.9202997E+02 
  1.9299475E+10 -1.9670029E+00  2.9197998E+02 
  1.9301646E+10 -1.9680023E+00  2.9188995E+02 
  1.9305128E+10 -1.9860001E+00  2.9162000E+02 
  1.9308605E+10 -1.9930038E+00  2.9143994E+02 
  1.9312517E+10 -2.0230026E+00  2.9117999E+02 
  1.9315995E+10 -2.0400009E+00  2.9098999E+02 
  1.9319464E+10 -2.0420036E+00  2.9075995E+02 
  1.9322946E+10 -2.0710030E+00  2.9048999E+02 
  1.9326427E+10 -2.0890007E+00  2.9023999E+02 
  1.9329905E+10 -2.0960007E+00  2.9003998E+02 
  1.9333816E+10 -2.1260033E+00  2.8975000E+02 
  1.9335557E+10 -2.1480026E+00  2.8964996E+02 
  1.9339035E+10 -2.1660004E+00  2.8937000E+02 
  1.9342504E+10 -2.1890030E+00  2.8915997E+02 
  1.9345986E+10 -2.2130013E+00  2.8892999E+02 
  1.9347735E+10 -2.2300034E+00  2.8879999E+02 
  1.9350335E+10 -2.2420006E+00  2.8857996E+02 
  1.9353805E+10 -2.2660027E+00  2.8827997E+02 
  1.9357286E+10 -2.3050003E+00  2.8803998E+02 
  1.9360764E+10 -2.3340034E+00  2.8779999E+02 
  1.9364356E+10 -2.3630028E+00  2.8747998E+02 
  1.9367825E+10 -2.3870010E+00  2.8716998E+02 
  1.9371307E+10 -2.4100037E+00  2.8687994E+02 
  1.9374785E+10 -2.4390030E+00  2.8660999E+02 
  1.9378266E+10 -2.4620018E+00  2.8626996E+02 
  1.9380867E+10 -2.4910011E+00  2.8600000E+02 
  1.9384345E+10 -2.5200005E+00  2.8566998E+02 
  1.9385655E+10 -2.5470009E+00  2.8556995E+02 
  1.9389125E+10 -2.5650024E+00  2.8526996E+02 
  1.9392606E+10 -2.6090012E+00  2.8498999E+02 
  1.9396088E+10 -2.6230011E+00  2.8462000E+02 
  1.9399565E+10 -2.6620026E+00  2.8426996E+02 
  1.9403035E+10 -2.6950035E+00  2.8396997E+02 
  1.9406516E+10 -2.7350006E+00  2.8357996E+02 
  1.9409998E+10 -2.7640038E+00  2.8319995E+02 
  1.9413475E+10 -2.7980003E+00  2.8283997E+02 
  1.9416945E+10 -2.8370018E+00  2.8240997E+02 
  1.9420426E+10 -2.8660011E+00  2.8201996E+02 
  1.9421725E+10 -2.8880005E+00  2.8184998E+02 
  1.9425206E+10 -2.9220009E+00  2.8139996E+02 
  1.9428688E+10 -2.9560013E+00  2.8096997E+02 
  1.9432165E+10 -2.9910011E+00  2.8053998E+02 
  1.9435635E+10 -3.0300026E+00  2.8002997E+02 
  1.9439116E+10 -3.0690002E+00  2.7956995E+02 
  1.9440427E+10 -3.0860023E+00  2.7935999E+02 
  1.9443905E+10 -3.1320038E+00  2.7876996E+02 
  1.9448357E+10 -3.2030029E+00  2.7801996E+02 
  1.9451834E+10 -3.2640038E+00  2.7725995E+02 
  1.9455316E+10 -3.3360023E+00  2.7650000E+02 
  1.9458785E+10 -3.3860016E+00  2.7579999E+02 
  1.9462267E+10 -3.4720001E+00  2.7494995E+02 
  1.9465744E+10 -3.8150024E+00  2.7126996E+02 
  1.9469226E+10 -7.3660011E+00  2.5643994E+02 
  1.9472695E+10  2.4672997E+01  2.3990997E+02 
  1.9476177E+10  2.4019997E+01  2.2853000E+02 
  1.9479654E+10  2.3257999E+01  2.2087000E+02 
  1.9483136E+10  2.2744999E+01  2.1564999E+02 
  1.9486605E+10  2.2411999E+01  2.1225000E+02 
  1.9490087E+10  2.2181999E+01  2.0989999E+02 
  1.9493564E+10  2.2005997E+01  2.0810999E+02 
  1.9497046E+10  2.1841999E+01  2.0643997E+02 
  1.9500085E+10  2.1677998E+01  2.0475000E+02 
  1.9500958E+10  2.1657997E+01  2.0456000E+02 
  1.9504435E+10  2.1501999E+01  2.0288998E+02 
  1.9507905E+10  2.1339996E+01  2.0129999E+02 
  1.9508347E+10  2.1320999E+01  2.0109000E+02 
  1.9511824E+10  2.1146000E+01  1.9937000E+02 
  1.9515298E+10  2.0969997E+01  1.9757999E+02 
  1.9518775E+10  2.0820999E+01  1.9609000E+02 
  1.9522257E+10  2.0709000E+01  1.9487000E+02 
  1.9525734E+10  2.0620998E+01  1.9400000E+02 
  1.9529216E+10  2.0556999E+01  1.9332999E+02 
  1.9532685E+10  2.0509998E+01  1.9281000E+02 
  1.9535897E+10  2.0469997E+01  1.9239999E+02 
  1.9539374E+10  2.0435997E+01  1.9206000E+02 
  1.9542847E+10  2.0411999E+01  1.9175998E+02 
  1.9546325E+10  2.0383999E+01  1.9147998E+02 
  1.9548504E+10  2.0369999E+01  1.9134000E+02 
  1.9551977E+10  2.0346996E+01  1.9112000E+02 
  1.9555455E+10  2.0327000E+01  1.9090997E+02 
  1.9558937E+10  2.0309998E+01  1.9069998E+02 
  1.9562308E+10  2.0000000E+00  1.9053000E+02 
  1.9565781E+10  1.9970000E+00  1.9031000E+02 
  1.9569258E+10  1.9959998E+00  1.9016998E+02 
  1.9572740E+10  1.9940000E+00  1.9000000E+02 
  1.9576218E+10  1.9929998E+00  1.8984998E+02 
  1.9579691E+10  1.9909999E+00  1.8970999E+02 
  1.9584479E+10  1.9899998E+00  1.8951999E+02 
  1.9587949E+10  1.9879999E+00  1.8939999E+02 
  1.9591430E+10  1.9870000E+00  1.8925000E+02 
  1.9594039E+10  1.9859998E+00  1.8914999E+02 
  1.9594478E+10  1.9859998E+00  1.8912000E+02 
  1.9597951E+10  1.9840000E+00  1.8895999E+02 
  1.9601428E+10  1.9840000E+00  1.8887997E+02 
  1.9604910E+10  1.9819999E+00  1.8875000E+02 
  1.9607949E+10  1.9809999E+00  1.8862997E+02 
  1.9610128E+10  1.9799998E+00  1.8856998E+02 
  1.9613598E+10  1.9789999E+00  1.8843997E+02 
  1.9617079E+10  1.9779999E+00  1.8835999E+02 
  1.9621589E+10  1.9770000E+00  1.8821997E+02 
