time                     TG21A    TG21B  TG21avg   DTH21   DTL21 
1975-092T11:18:41.629  302.076  272.414  287.245   2.959  29.662 
1975-092T11:25:56.324  302.026  272.369  287.197   2.959  29.657 
1975-092T11:33:11.019  301.959  272.303  287.131   2.958  29.656 
1975-092T11:40:25.713  301.987  272.341  287.164   2.959  29.646 
1975-092T11:47:40.408  301.855  272.216  287.036   2.957  29.639 
1975-092T11:54:55.101  301.850  272.221  287.036   2.957  29.628 
1975-092T12:02:09.796  301.830  272.212  287.021   2.957  29.618 
1975-092T12:09:24.489  301.737  272.115  286.926   2.956  29.622 
1975-092T12:16:39.182  301.701  272.084  286.893   2.956  29.616 
1975-092T12:23:53.877  301.658  272.032  286.845   2.955  29.627 
1975-092T12:31:08.569  301.650  272.040  286.845   2.955  29.611 
1975-092T12:38:23.264  301.572  271.957  286.764   2.954  29.615 
1975-092T12:45:37.957  301.602  271.992  286.797   2.954  29.610 
1975-092T12:52:52.650  301.539  271.924  286.731   2.954  29.615 
1975-092T13:00:07.343  301.485  271.882  286.684   2.954  29.604 
1975-092T13:07:22.038  301.432  271.840  286.636   2.953  29.593 
1975-092T13:14:36.730  301.396  271.809  286.603   2.953  29.587 
1975-092T13:21:51.425  301.349  271.762  286.555   2.952  29.587 
1975-092T13:29:06.118  301.331  271.750  286.541   2.952  29.581 
1975-092T13:36:20.811  301.298  271.717  286.508   2.952  29.581 
1975-092T13:43:35.506  301.200  271.625  286.413   2.951  29.575 
1975-092T13:50:50.199  301.200  271.625  286.413   2.950  29.575 
1975-092T13:58:04.894  301.183  271.614  286.398   2.950  29.569 
1975-092T14:05:19.586  301.119  271.545  286.332   2.950  29.574 
1975-092T14:12:34.281  301.069  271.501  286.285   2.949  29.568 
1975-092T14:19:48.974  301.030  271.473  286.252   2.949  29.557 
1975-092T14:27:03.669  300.980  271.428  286.204   2.949  29.551 
1975-092T14:34:18.362  300.960  271.419  286.190   2.948  29.541 
1975-092T14:41:33.057  300.922  271.392  286.157   2.948  29.530 
1975-092T14:48:47.750  300.910  271.375  286.142   2.948  29.535 
1975-092T14:56:02.455  300.829  271.295  286.062   2.947  29.534 
1975-092T15:03:17.148  300.784  271.245  286.015   2.947  29.539 
1975-092T15:10:31.841  300.698  271.170  285.934   2.945  29.528 
1975-092T15:50:22.658  300.545  271.040  285.792   2.944  29.505 
1975-092T15:57:37.351  300.559  271.054  285.807   2.944  29.505 
1975-092T16:04:52.044  300.459  270.965  285.712   2.943  29.494 
1975-092T16:12:06.739  300.423  270.935  285.679   2.943  29.488 
1975-092T16:19:21.432  300.331  270.838  285.585   2.942  29.493 
1975-092T16:26:36.127  300.334  270.836  285.585   2.942  29.498 
1975-092T16:33:50.821  300.334  270.836  285.585   2.942  29.498 
1975-092T16:41:05.514  300.283  270.791  285.537   2.941  29.492 
1975-092T16:48:20.207  300.195  270.719  285.457   2.940  29.476 
1975-092T16:55:34.902  300.192  270.722  285.457   2.940  29.470 
1975-092T17:02:49.595  300.109  270.645  285.377   2.939  29.464 
1975-092T17:10:04.290  300.087  270.639  285.363   2.939  29.448 
1975-092T17:17:18.983  300.040  270.592  285.316   2.939  29.448 
1975-092T17:24:33.677  299.962  270.509  285.236   2.938  29.452 
1975-092T17:31:48.372  299.912  270.465  285.189   2.937  29.447 
1975-092T17:39:03.067  299.881  270.430  285.156   2.937  29.452 
1975-092T17:46:17.760  299.801  270.350  285.076   2.937  29.451 
1975-092T17:53:32.455  299.832  270.386  285.109   2.937  29.446 
1975-092T18:00:47.148  299.734  270.295  285.014   2.935  29.440 
1975-092T18:08:01.843  299.693  270.270  284.982   2.935  29.424 
1975-092T18:15:16.538  299.613  270.190  284.902   2.934  29.423 
1975-092T18:22:31.232  299.611  270.193  284.902   2.934  29.418 
1975-092T18:29:45.926  299.555  270.154  284.855   2.934  29.402 
1975-092T18:37:00.619  299.506  270.110  284.808   2.933  29.396 
1975-092T18:44:15.320  299.491  270.096  284.794   2.933  29.396 
1975-092T18:51:30.014  299.417  270.011  284.714   2.933  29.405 
1975-092T18:58:44.710  299.383  269.978  284.681   2.932  29.405 
1975-092T19:05:59.404  299.334  269.934  284.634   2.932  29.399 
1975-092T19:13:14.100  299.237  269.844  284.540   2.930  29.393 
1975-092T19:20:28.794  299.204  269.811  284.507   2.930  29.393 
1975-092T19:27:43.490  299.196  269.819  284.507   2.930  29.377 
1975-092T19:34:58.184  299.146  269.775  284.460   2.930  29.372 
1975-092T19:42:12.880  299.097  269.731  284.414   2.930  29.366 
1975-092T19:49:27.576  299.047  269.687  284.367   2.929  29.360 
1975-092T19:56:42.270  298.995  269.645  284.320   2.928  29.349 
1975-092T20:03:56.966  298.997  269.643  284.320   2.928  29.355 
