time                     TG21A    TG21B  TG21avg   DTH21   DTL21 
1975-092T00:05:11.576  256.241  256.467  256.354  -0.226  -0.226 
1975-092T00:12:26.288  256.271  256.497  256.384  -0.226  -0.230 
1975-092T00:19:40.999  256.271  256.497  256.384  -0.226  -0.230 
1975-092T00:26:55.711  256.271  256.497  256.384  -0.226  -0.226 
1975-092T00:34:10.422  256.233  256.459  256.346  -0.226  -0.226 
1975-092T00:41:25.134  256.233  256.459  256.346  -0.226  -0.230 
1975-092T00:48:39.844  256.271  256.497  256.384  -0.226  -0.230 
1975-092T00:55:54.556  256.233  256.459  256.346  -0.226  -0.230 
1975-092T01:03:09.268  256.271  256.497  256.384  -0.226  -0.230 
1975-092T01:10:23.979  256.271  256.497  256.384  -0.226  -0.230 
1975-092T01:17:38.689  256.271  256.497  256.384  -0.226  -0.233 
1975-092T01:24:53.402  256.195  256.421  256.308  -0.226  -0.230 
1975-092T01:32:08.113  256.225  256.451  256.338  -0.226  -0.230 
1975-092T01:39:22.823  256.263  256.489  256.376  -0.226  -0.230 
1975-092T01:46:37.534  256.263  256.489  256.376  -0.226  -0.230 
1975-092T01:53:52.247  256.195  256.421  256.308  -0.226  -0.230 
1975-092T02:01:06.957  256.271  256.497  256.384  -0.226  -0.226 
1975-092T02:08:21.668  256.271  256.497  256.384  -0.226  -0.226 
1975-092T02:15:36.380  256.225  256.451  256.338  -0.226  -0.226 
1975-092T02:22:51.092  256.263  256.489  256.376  -0.226  -0.230 
1975-092T02:30:05.802  256.263  256.489  256.376  -0.226  -0.230 
1975-092T02:37:20.513  256.330  256.556  256.443  -0.226  -0.230 
1975-092T02:44:35.225  256.271  256.497  256.384  -0.226  -0.230 
1975-092T02:51:49.935  256.255  256.481  256.368  -0.226  -0.230 
1975-092T02:59:04.647  256.263  256.489  256.376  -0.226  -0.230 
1975-092T03:06:19.359  256.255  256.481  256.368  -0.226  -0.230 
1975-092T03:13:34.069  256.255  256.481  256.368  -0.226  -0.226 
1975-092T03:20:48.781  256.263  256.489  256.376  -0.226  -0.230 
1975-092T03:28:03.492  256.271  256.497  256.384  -0.226  -0.230 
1975-092T03:35:18.202  256.330  256.556  256.443  -0.226  -0.226 
1975-092T03:42:32.914  256.293  256.519  256.406  -0.226  -0.230 
1975-092T03:49:47.626  256.225  256.451  256.338  -0.226  -0.230 
1975-092T03:57:02.336  256.233  256.459  256.346  -0.226  -0.230 
1975-092T04:04:17.048  256.255  256.481  256.368  -0.226  -0.226 
1975-092T04:11:31.759  256.293  256.519  256.406  -0.226  -0.230 
1975-092T04:18:46.469  256.247  256.473  256.360  -0.226  -0.230 
1975-092T04:26:01.181  256.255  256.481  256.368  -0.226  -0.226 
1975-092T04:33:15.891  256.263  256.489  256.376  -0.226  -0.230 
1975-092T04:40:30.603  256.255  256.481  256.368  -0.226  -0.226 
1975-092T04:47:45.314  256.255  256.481  256.368  -0.226  -0.230 
1975-092T04:55:00.026  256.255  256.481  256.368  -0.226  -0.230 
1975-092T05:02:14.738  256.255  256.481  256.368  -0.226  -0.226 
1975-092T05:09:29.449  256.293  256.519  256.406  -0.226  -0.230 
1975-092T05:16:44.161  256.263  256.489  256.376  -0.226  -0.230 
1975-092T05:23:58.872  256.271  256.497  256.384  -0.226  -0.230 
1975-092T05:31:13.583  256.225  256.451  256.338  -0.226  -0.230 
1975-092T05:38:28.295  256.255  256.481  256.368  -0.226  -0.226 
1975-092T05:45:43.007  256.255  256.481  256.368  -0.226  -0.230 
1975-092T05:52:57.719  256.255  256.481  256.368  -0.226  -0.230 
1975-092T06:00:12.431  256.293  256.519  256.406  -0.226  -0.226 
1975-092T06:07:27.141  256.255  256.481  256.368  -0.226  -0.230 
1975-092T06:14:41.853  256.255  256.481  256.368  -0.226  -0.230 
1975-092T06:21:56.564  256.225  256.451  256.338  -0.226  -0.226 
1975-092T06:29:11.276  256.255  256.481  256.368  -0.226  -0.226 
1975-092T06:36:25.989  256.255  256.481  256.368  -0.226  -0.230 
1975-092T06:43:40.705  256.255  256.481  256.368  -0.226  -0.230 
1975-092T06:50:55.416  256.293  256.519  256.406  -0.226  -0.226 
1975-092T06:58:10.127  256.255  256.481  256.368  -0.226  -0.230 
1975-092T07:05:24.838  256.225  256.451  256.338  -0.226  -0.230 
1975-092T07:12:39.549  256.225  256.451  256.338  -0.226  -0.230 
1975-092T07:19:54.260  256.301  256.527  256.414  -0.226  -0.233 
1975-092T07:27:08.973  256.255  256.481  256.368  -0.226  -0.230 
1975-092T07:34:23.684  256.263  256.489  256.376  -0.226  -0.230 
1975-092T07:41:38.396  256.225  256.451  256.338  -0.226  -0.230 
1975-092T07:48:53.095  256.255  256.481  256.368  -0.226  -0.230 
1975-092T07:56:07.807  256.255  256.481  256.368  -0.226  -0.230 
1975-092T08:03:22.518  256.255  256.481  256.368  -0.226  -0.226 
1975-092T08:10:37.228  256.255  256.481  256.368  -0.226  -0.230 
1975-092T08:17:51.940  256.255  256.481  256.368  -0.226  -0.230 
1975-092T08:25:06.651  256.293  256.519  256.406  -0.226  -0.230 
1975-092T08:32:21.364  256.255  256.481  256.368  -0.226  -0.230 
1975-092T08:39:36.075  256.255  256.481  256.368  -0.226  -0.230 
1975-092T08:46:50.786  256.255  256.481  256.368  -0.226  -0.226 
1975-092T08:54:05.497  256.255  256.481  256.368  -0.226  -0.226 
1975-092T09:01:20.208  256.255  256.481  256.368  -0.226  -0.230 
1975-092T09:08:34.921  256.255  256.481  256.368  -0.226  -0.230 
1975-092T09:15:49.631  256.255  256.481  256.368  -0.226  -0.230 
1975-092T09:23:04.343  256.314  256.540  256.427  -0.226  -0.226 
1975-092T09:30:19.055  256.285  256.510  256.398  -0.226  -0.230 
1975-092T09:37:33.766  256.247  256.473  256.360  -0.226  -0.230 
1975-092T09:44:48.478  256.255  256.481  256.368  -0.226  -0.230 
1975-092T09:52:03.188  256.255  256.481  256.368  -0.226  -0.229 
1975-092T09:59:17.900  256.247  256.473  256.360  -0.226  -0.229 
1975-092T10:06:32.612  256.255  256.481  256.368  -0.226  -0.230 
1975-092T10:13:47.322  256.285  256.510  256.398  -0.226  -0.230 
1975-092T10:21:02.035  256.247  256.473  256.360  -0.226  -0.230 
1975-092T10:28:16.745  256.255  256.481  256.368  -0.226  -0.230 
1975-092T10:35:31.457  256.255  256.481  256.368  -0.226  -0.226 
1975-092T10:42:46.169  256.285  256.510  256.398  -0.226  -0.226 
1975-092T10:50:00.875  256.285  256.510  256.398  -0.226  -0.229 
1975-092T10:57:15.588  256.247  256.473  256.360  -0.226  -0.226 
1975-092T11:04:30.298  256.314  256.540  256.427  -0.226  -0.226 
1975-092T11:11:45.010  256.255  256.481  256.368  -0.226  -0.230 
1975-092T11:18:59.722  256.255  256.481  256.368  -0.226  -0.226 
1975-092T11:26:14.432  256.255  256.481  256.368  -0.226  -0.226 
1975-092T11:33:29.144  256.285  256.510  256.398  -0.226  -0.226 
1975-092T11:40:43.855  256.255  256.481  256.368  -0.226  -0.230 
1975-092T11:47:58.567  256.285  256.510  256.398  -0.226  -0.226 
1975-092T11:55:13.279  256.314  256.540  256.427  -0.226  -0.226 
1975-092T12:02:27.991  256.277  256.502  256.389  -0.226  -0.230 
1975-092T12:09:42.701  256.255  256.481  256.368  -0.226  -0.230 
1975-092T12:16:57.411  256.255  256.481  256.368  -0.226  -0.230 
1975-092T12:24:12.122  256.255  256.481  256.368  -0.226  -0.230 
1975-092T12:31:26.832  256.255  256.481  256.368  -0.226  -0.230 
1975-092T12:38:41.542  256.255  256.481  256.368  -0.226  -0.230 
1975-092T12:45:56.252  256.285  256.510  256.398  -0.226  -0.230 
1975-092T12:53:10.963  256.277  256.502  256.389  -0.226  -0.230 
1975-092T13:00:25.673  256.247  256.473  256.360  -0.226  -0.226 
1975-092T13:07:40.383  256.255  256.481  256.368  -0.226  -0.230 
1975-092T13:14:55.095  256.255  256.481  256.368  -0.226  -0.229 
1975-092T13:22:09.805  256.285  256.510  256.398  -0.226  -0.223 
1975-092T13:29:24.514  256.255  256.481  256.368  -0.226  -0.230 
1975-092T13:36:39.226  256.285  256.510  256.398  -0.226  -0.226 
1975-092T13:43:53.936  256.277  256.502  256.389  -0.226  -0.229 
1975-092T13:51:08.646  256.255  256.481  256.368  -0.226  -0.230 
1975-092T13:58:23.357  256.285  256.510  256.398  -0.226  -0.230 
1975-092T14:05:38.067  256.277  256.502  256.389  -0.226  -0.226 
1975-092T14:12:52.777  256.201  256.427  256.314  -0.226  -0.229 
1975-092T14:20:07.487  256.277  256.502  256.389  -0.226  -0.226 
1975-092T14:27:22.199  256.314  256.540  256.427  -0.226  -0.226 
1975-092T14:34:36.908  256.239  256.465  256.352  -0.226  -0.230 
1975-092T14:41:51.620  256.247  256.473  256.360  -0.226  -0.230 
1975-092T14:49:06.341  256.277  256.502  256.389  -0.226  -0.230 
1975-092T14:56:21.050  256.255  256.481  256.368  -0.226  -0.226 
1975-092T15:03:35.760  256.285  256.510  256.398  -0.226  -0.223 
1975-092T15:10:50.470  256.277  256.502  256.389  -0.226  -0.229 
1975-092T15:50:41.377  256.239  256.464  256.352  -0.226  -0.229 
1975-092T15:57:56.086  256.306  256.532  256.419  -0.226  -0.229 
1975-092T16:05:10.798  256.247  256.473  256.360  -0.226  -0.229 
1975-092T16:12:25.508  256.277  256.502  256.389  -0.226  -0.226 
1975-092T16:19:40.218  256.314  256.540  256.427  -0.226  -0.230 
1975-092T16:26:54.927  256.255  256.481  256.368  -0.226  -0.226 
1975-092T16:34:09.637  256.285  256.510  256.398  -0.226  -0.230 
1975-092T16:41:24.347  256.239  256.465  256.352  -0.226  -0.230 
1975-092T16:48:39.057  256.255  256.481  256.368  -0.226  -0.230 
1975-092T16:55:53.769  256.255  256.481  256.368  -0.226  -0.230 
1975-092T17:03:08.478  256.314  256.540  256.427  -0.226  -0.230 
1975-092T17:10:23.188  256.285  256.510  256.398  -0.226  -0.230 
1975-092T17:17:37.898  256.239  256.465  256.352  -0.226  -0.230 
1975-092T17:24:52.610  256.247  256.473  256.360  -0.226  -0.226 
1975-092T17:32:07.319  256.314  256.540  256.427  -0.226  -0.230 
1975-092T17:39:22.029  256.277  256.502  256.389  -0.226  -0.226 
1975-092T17:46:36.739  256.285  256.510  256.398  -0.226  -0.226 
1975-092T17:53:51.451  256.209  256.435  256.322  -0.226  -0.230 
1975-092T18:01:06.161  256.277  256.502  256.389  -0.226  -0.230 
1975-092T18:08:20.870  256.255  256.481  256.368  -0.226  -0.229 
1975-092T18:15:35.581  256.276  256.503  256.389  -0.226  -0.230 
1975-092T18:22:50.292  256.239  256.465  256.352  -0.226  -0.230 
1975-092T18:30:05.001  256.239  256.465  256.352  -0.226  -0.230 
1975-092T18:37:19.713  256.239  256.465  256.352  -0.226  -0.230 
1975-092T18:44:34.429  256.277  256.502  256.389  -0.226  -0.229 
1975-092T18:51:49.138  256.285  256.510  256.398  -0.226  -0.233 
1975-092T18:59:03.850  256.277  256.502  256.389  -0.226  -0.229 
1975-092T19:06:18.561  256.239  256.465  256.352  -0.226  -0.229 
1975-092T19:13:33.271  256.285  256.510  256.398  -0.226  -0.229 
1975-092T19:20:47.982  256.277  256.502  256.389  -0.226  -0.226 
1975-092T19:28:02.694  256.239  256.465  256.352  -0.226  -0.226 
1975-092T19:35:17.404  256.306  256.532  256.419  -0.226  -0.229 
1975-092T19:42:32.115  256.277  256.502  256.389  -0.226  -0.229 
1975-092T19:49:46.827  256.277  256.502  256.389  -0.226  -0.230 
1975-092T19:57:01.538  256.239  256.464  256.352  -0.226  -0.229 
1975-092T20:04:16.248  256.239  256.465  256.352  -0.226  -0.230 
1975-092T20:11:30.960  256.239  256.465  256.352  -0.226  -0.226 
1975-092T20:18:45.660  256.285  256.510  256.398  -0.226  -0.229 
1975-092T20:26:00.369  256.239  256.465  256.352  -0.226  -0.229 
1975-092T20:33:15.081  256.285  256.510  256.398  -0.226  -0.230 
