time                     TG11A    TG11B  TG11avg   DTH11   DTL11 
1975-092T00:04:17.237  255.792  256.071  255.931  -0.280  -0.281 
1975-092T00:11:31.948  255.829  256.109  255.969  -0.280  -0.281 
1975-092T00:18:46.660  255.792  256.071  255.931  -0.279  -0.281 
1975-092T00:26:01.372  255.762  256.041  255.902  -0.280  -0.281 
1975-092T00:33:16.083  255.762  256.041  255.902  -0.280  -0.284 
1975-092T00:40:30.795  255.792  256.071  255.931  -0.280  -0.281 
1975-092T00:47:45.505  255.762  256.041  255.902  -0.280  -0.281 
1975-092T00:55:00.217  255.792  256.071  255.931  -0.280  -0.281 
1975-092T01:02:14.929  255.792  256.071  255.931  -0.280  -0.281 
1975-092T01:09:29.640  255.792  256.071  255.931  -0.280  -0.281 
1975-092T01:16:44.350  255.792  256.071  255.931  -0.279  -0.284 
1975-092T01:23:59.063  255.829  256.109  255.969  -0.280  -0.281 
1975-092T01:31:13.774  255.792  256.071  255.931  -0.280  -0.281 
1975-092T01:38:28.484  255.792  256.071  255.931  -0.280  -0.284 
1975-092T01:45:43.195  255.792  256.071  255.931  -0.280  -0.281 
1975-092T01:52:57.908  255.821  256.101  255.961  -0.279  -0.281 
1975-092T02:00:12.618  255.792  256.071  255.931  -0.280  -0.281 
1975-092T02:07:27.329  255.792  256.071  255.931  -0.280  -0.284 
1975-092T02:14:42.041  255.821  256.101  255.961  -0.280  -0.281 
1975-092T02:21:56.753  255.792  256.071  255.931  -0.280  -0.281 
1975-092T02:29:11.463  255.792  256.071  255.931  -0.280  -0.281 
1975-092T02:36:26.174  255.821  256.101  255.961  -0.280  -0.281 
1975-092T02:43:40.886  255.821  256.101  255.961  -0.280  -0.281 
1975-092T02:50:55.596  255.792  256.071  255.931  -0.280  -0.281 
1975-092T02:58:10.308  255.821  256.101  255.961  -0.280  -0.284 
1975-092T03:05:25.020  255.792  256.071  255.931  -0.280  -0.281 
1975-092T03:12:39.730  255.821  256.101  255.961  -0.280  -0.281 
1975-092T03:19:54.441  255.792  256.071  255.931  -0.280  -0.281 
1975-092T03:27:09.153  255.821  256.101  255.961  -0.280  -0.281 
1975-092T03:34:23.863  255.791  256.071  255.931  -0.280  -0.281 
1975-092T03:41:38.575  255.821  256.101  255.961  -0.280  -0.281 
1975-092T03:48:53.287  255.821  256.101  255.961  -0.280  -0.281 
1975-092T03:56:07.997  255.829  256.109  255.969  -0.280  -0.281 
1975-092T04:03:22.709  255.754  256.033  255.894  -0.280  -0.281 
1975-092T04:10:37.420  255.821  256.101  255.961  -0.280  -0.281 
1975-092T04:17:52.130  255.821  256.101  255.961  -0.280  -0.281 
1975-092T04:25:06.843  255.821  256.101  255.961  -0.280  -0.281 
1975-092T04:32:21.554  255.792  256.071  255.931  -0.279  -0.277 
1975-092T04:39:36.264  255.821  256.101  255.961  -0.280  -0.281 
1975-092T04:46:50.975  255.821  256.101  255.961  -0.280  -0.281 
1975-092T04:54:05.687  255.792  256.071  255.931  -0.280  -0.281 
1975-092T05:01:20.399  255.821  256.101  255.961  -0.280  -0.281 
1975-092T05:08:35.111  255.784  256.063  255.923  -0.280  -0.281 
1975-092T05:15:49.822  255.821  256.101  255.961  -0.279  -0.281 
1975-092T05:23:04.533  255.821  256.101  255.961  -0.280  -0.281 
1975-092T05:30:19.244  255.821  256.101  255.961  -0.279  -0.281 
1975-092T05:37:33.956  255.851  256.131  255.991  -0.280  -0.281 
1975-092T05:44:48.669  255.754  256.033  255.894  -0.280  -0.281 
1975-092T05:52:03.380  255.821  256.101  255.961  -0.280  -0.281 
1975-092T05:59:18.092  255.792  256.071  255.931  -0.280  -0.281 
1975-092T06:06:32.802  255.821  256.101  255.961  -0.280  -0.284 
1975-092T06:13:47.514  255.821  256.101  255.961  -0.280  -0.284 
1975-092T06:21:02.225  255.851  256.131  255.991  -0.280  -0.284 
1975-092T06:28:16.937  255.784  256.063  255.923  -0.280  -0.284 
1975-092T06:35:31.650  255.754  256.033  255.894  -0.279  -0.281 
1975-092T06:42:46.366  255.821  256.101  255.961  -0.280  -0.281 
1975-092T06:50:01.077  255.784  256.063  255.923  -0.279  -0.284 
1975-092T06:57:15.789  255.851  256.131  255.991  -0.280  -0.281 
1975-092T07:04:30.500  255.821  256.101  255.961  -0.280  -0.281 
1975-092T07:11:45.210  255.851  256.131  255.991  -0.280  -0.281 
1975-092T07:18:59.922  255.813  256.093  255.953  -0.280  -0.281 
1975-092T07:26:14.633  255.784  256.063  255.923  -0.280  -0.281 
1975-092T07:33:29.345  255.851  256.131  255.991  -0.280  -0.281 
1975-092T07:40:44.057  255.813  256.093  255.953  -0.280  -0.281 
1975-092T07:47:58.757  255.851  256.131  255.991  -0.280  -0.277 
1975-092T07:55:13.468  255.813  256.093  255.953  -0.280  -0.281 
1975-092T08:02:28.179  255.859  256.139  255.999  -0.280  -0.281 
1975-092T08:09:42.889  255.813  256.093  255.953  -0.280  -0.281 
1975-092T08:16:57.601  255.851  256.131  255.991  -0.280  -0.281 
1975-092T08:24:12.312  255.813  256.093  255.953  -0.280  -0.281 
1975-092T08:31:27.025  255.784  256.063  255.923  -0.280  -0.281 
1975-092T08:38:41.736  255.813  256.093  255.953  -0.280  -0.284 
1975-092T08:45:56.447  255.813  256.093  255.953  -0.279  -0.281 
1975-092T08:53:11.158  255.851  256.130  255.991  -0.279  -0.281 
1975-092T09:00:25.869  255.851  256.131  255.991  -0.280  -0.281 
1975-092T09:07:40.580  255.851  256.130  255.991  -0.279  -0.284 
1975-092T09:14:55.292  255.851  256.131  255.991  -0.280  -0.281 
1975-092T09:22:10.004  255.813  256.093  255.953  -0.280  -0.281 
1975-092T09:29:24.716  255.813  256.093  255.953  -0.280  -0.284 
1975-092T09:36:39.427  255.776  256.055  255.915  -0.280  -0.281 
1975-092T09:43:54.139  255.813  256.093  255.953  -0.280  -0.281 
1975-092T09:51:08.849  255.813  256.093  255.953  -0.280  -0.281 
1975-092T09:58:23.561  255.776  256.055  255.915  -0.279  -0.281 
1975-092T10:05:38.273  255.813  256.093  255.953  -0.279  -0.281 
1975-092T10:12:52.983  255.813  256.093  255.953  -0.280  -0.281 
1975-092T10:20:07.696  255.851  256.131  255.991  -0.280  -0.281 
1975-092T10:27:22.406  255.813  256.093  255.953  -0.280  -0.284 
1975-092T10:34:37.118  255.851  256.130  255.991  -0.279  -0.281 
1975-092T10:41:51.830  255.776  256.055  255.915  -0.280  -0.281 
1975-092T10:49:06.536  255.821  256.101  255.961  -0.280  -0.281 
1975-092T10:56:21.249  255.813  256.093  255.953  -0.280  -0.281 
1975-092T11:03:35.959  255.776  256.055  255.915  -0.279  -0.281 
1975-092T11:10:50.671  255.813  256.093  255.953  -0.279  -0.281 
1975-092T11:18:05.383  255.776  256.055  255.915  -0.279  -0.281 
1975-092T11:25:20.095  255.784  256.063  255.923  -0.280  -0.284 
1975-092T11:32:34.805  255.821  256.101  255.961  -0.280  -0.284 
1975-092T11:39:49.516  255.776  256.055  255.915  -0.280  -0.281 
1975-092T11:47:04.228  255.851  256.131  255.991  -0.280  -0.281 
1975-092T11:54:18.940  255.813  256.093  255.953  -0.280  -0.281 
1975-092T12:01:33.652  255.776  256.055  255.915  -0.280  -0.281 
1975-092T12:08:48.362  255.776  256.055  255.915  -0.280  -0.281 
1975-092T12:16:03.072  255.776  256.055  255.915  -0.280  -0.284 
1975-092T12:23:17.783  255.776  256.055  255.915  -0.280  -0.281 
1975-092T12:30:32.493  255.776  256.055  255.915  -0.280  -0.284 
1975-092T12:37:47.203  255.776  256.055  255.915  -0.280  -0.281 
1975-092T12:45:01.913  255.843  256.122  255.983  -0.280  -0.277 
1975-092T12:52:16.625  255.813  256.093  255.953  -0.280  -0.281 
1975-092T12:59:31.334  255.776  256.055  255.915  -0.279  -0.281 
1975-092T13:06:46.044  255.843  256.122  255.983  -0.280  -0.281 
1975-092T13:14:00.756  255.813  256.093  255.953  -0.280  -0.281 
1975-092T13:21:15.466  255.805  256.085  255.945  -0.280  -0.281 
1975-092T13:28:30.177  255.776  256.055  255.915  -0.279  -0.281 
1975-092T13:35:44.887  255.776  256.055  255.915  -0.279  -0.281 
1975-092T13:42:59.597  255.776  256.055  255.915  -0.279  -0.281 
1975-092T13:50:14.307  255.776  256.055  255.915  -0.279  -0.281 
1975-092T13:57:29.017  255.805  256.085  255.945  -0.280  -0.281 
1975-092T14:04:43.728  255.805  256.085  255.945  -0.280  -0.281 
1975-092T14:11:58.438  255.776  256.055  255.915  -0.279  -0.284 
1975-092T14:19:13.148  255.776  256.055  255.915  -0.280  -0.281 
1975-092T14:26:27.860  255.805  256.085  255.945  -0.280  -0.281 
1975-092T14:33:42.571  255.805  256.085  255.945  -0.280  -0.281 
1975-092T14:40:57.281  255.776  256.055  255.915  -0.279  -0.284 
1975-092T14:48:11.991  255.805  256.085  255.945  -0.279  -0.281 
1975-092T14:55:26.713  255.776  256.055  255.915  -0.279  -0.281 
1975-092T15:02:41.423  255.813  256.093  255.953  -0.280  -0.281 
1975-092T15:09:56.133  255.813  256.093  255.953  -0.280  -0.281 
1975-092T15:49:47.038  255.805  256.085  255.945  -0.280  -0.284 
1975-092T15:57:01.749  255.835  256.114  255.975  -0.280  -0.281 
1975-092T16:04:16.459  255.805  256.085  255.945  -0.280  -0.281 
1975-092T16:11:31.169  255.805  256.085  255.945  -0.280  -0.277 
1975-092T16:18:45.879  255.776  256.055  255.915  -0.279  -0.277 
1975-092T16:26:00.588  255.805  256.085  255.945  -0.280  -0.281 
1975-092T16:33:15.298  255.805  256.085  255.945  -0.280  -0.281 
1975-092T16:40:30.010  255.805  256.085  255.945  -0.279  -0.281 
1975-092T16:47:44.720  255.776  256.055  255.915  -0.279  -0.281 
1975-092T16:54:59.430  255.805  256.085  255.945  -0.280  -0.281 
1975-092T17:02:14.139  255.776  256.055  255.915  -0.280  -0.281 
1975-092T17:09:28.849  255.776  256.055  255.915  -0.279  -0.281 
1975-092T17:16:43.561  255.805  256.085  255.945  -0.280  -0.281 
1975-092T17:23:58.271  255.805  256.085  255.945  -0.280  -0.281 
1975-092T17:31:12.980  255.776  256.055  255.915  -0.279  -0.284 
1975-092T17:38:27.690  255.776  256.055  255.915  -0.279  -0.281 
1975-092T17:45:42.402  255.805  256.085  255.945  -0.280  -0.281 
1975-092T17:52:57.112  255.776  256.055  255.915  -0.280  -0.284 
1975-092T18:00:11.822  255.805  256.085  255.945  -0.280  -0.281 
1975-092T18:07:26.531  255.776  256.055  255.915  -0.279  -0.281 
1975-092T18:14:41.243  255.805  256.085  255.945  -0.280  -0.281 
1975-092T18:21:55.952  255.805  256.085  255.945  -0.279  -0.281 
1975-092T18:29:10.663  255.805  256.085  255.945  -0.280  -0.281 
1975-092T18:36:25.373  255.805  256.085  255.945  -0.280  -0.281 
1975-092T18:43:40.089  255.776  256.055  255.915  -0.280  -0.284 
1975-092T18:50:54.801  255.805  256.085  255.945  -0.279  -0.281 
1975-092T18:58:09.512  255.805  256.085  255.945  -0.280  -0.281 
1975-092T19:05:24.221  255.805  256.085  255.945  -0.280  -0.281 
1975-092T19:12:38.933  255.805  256.085  255.945  -0.279  -0.281 
1975-092T19:19:53.644  255.835  256.114  255.975  -0.280  -0.281 
1975-092T19:27:08.354  255.805  256.085  255.945  -0.279  -0.281 
1975-092T19:34:23.066  255.776  256.055  255.915  -0.279  -0.284 
1975-092T19:41:37.777  255.843  256.122  255.983  -0.279  -0.281 
1975-092T19:48:52.487  255.805  256.085  255.945  -0.280  -0.281 
1975-092T19:56:07.198  255.835  256.114  255.975  -0.280  -0.281 
1975-092T20:03:21.910  255.805  256.085  255.945  -0.280  -0.281 
1975-092T20:10:36.620  255.813  256.093  255.953  -0.280  -0.284 
1975-092T20:17:51.320  255.843  256.122  255.983  -0.280  -0.277 
1975-092T20:25:06.031  255.805  256.085  255.945  -0.279  -0.281 
1975-092T20:32:20.741  255.805  256.085  255.945  -0.279  -0.281 
