 TIME (ms)      DELTA_TEMP (K) AVG_TEMP (K)   
 ============== ============== ============== 
  3.0058824E+10  4.9999999E-03  2.5748999E+02 
  3.0127870E+10  8.3999991E-02  2.5687000E+02 
  3.0149304E+10  9.6999988E-02  2.5677997E+02 
  3.0242038E+10  1.3299999E-01  2.5657996E+02 
  3.0312817E+10  1.4899999E-01  2.5650995E+02 
  3.0402810E+10  1.6299999E-01  2.5646997E+02 
  3.0439625E+10  1.6599998E-01  2.5645996E+02 
  3.0512841E+10  1.7299998E-01  2.5641998E+02 
  3.0616039E+10  1.7999998E-01  2.5639996E+02 
  3.0695018E+10  1.8499997E-01  2.5639996E+02 
  3.0782558E+10  1.8799999E-01  2.5633997E+02 
  3.0867931E+10  1.9099998E-01  2.5632996E+02 
  3.0962590E+10  1.9399998E-01  2.5629999E+02 
  3.1040926E+10  1.9599998E-01  2.5628998E+02 
  3.1127511E+10  1.9799998E-01  2.5627997E+02 
  3.1214723E+10  1.9899997E-01  2.5629999E+02 
  3.1300555E+10  1.9999999E-01  2.5626996E+02 
  3.1386763E+10  2.0199999E-01  2.5626996E+02 
  3.1480275E+10  2.0299998E-01  2.5626996E+02 
  3.1565324E+10  2.0400000E-01  2.5626996E+02 
  3.1652106E+10  2.0499998E-01  2.5627997E+02 
  3.1825302E+10  2.0599997E-01  2.5625995E+02 
  3.1894397E+10  2.0699999E-01  2.5627997E+02 
  3.2114934E+10  2.0899999E-01  2.5627997E+02 
  3.2333668E+10  1.9299999E-01  2.5625000E+02 
  3.2503054E+10  2.0299998E-01  2.5623999E+02 
  3.2503923E+10  2.0299998E-01  2.5625000E+02 
  3.2683319E+10  2.0699999E-01  2.5623999E+02 
  3.2825852E+10  2.0899999E-01  2.5625000E+02 
  3.3045582E+10  2.1100000E-01  2.5628998E+02 
  3.3207411E+10  2.4100000E-01  2.5626996E+02 
  3.3296040E+10  2.2399998E-01  2.5626996E+02 
  3.3432297E+10  2.2000000E-01  2.5625995E+02 
  3.3606107E+10  2.1799999E-01  2.5621997E+02 
  3.3807077E+10  2.2499999E-01  2.5625995E+02 
  3.3837257E+10  2.2399998E-01  2.5623999E+02 
  3.3970995E+10  2.2099999E-01  2.5625000E+02 
  3.3972515E+10  2.3999998E-01  2.5623999E+02 
  3.4056958E+10  2.2599998E-01  2.5625000E+02 
  3.4096517E+10  2.2399998E-01  2.5622998E+02 
  3.4231222E+10  2.2199997E-01  2.5625995E+02 
  3.4316968E+10  2.2099999E-01  2.5622998E+02 
  3.4403172E+10  2.2099999E-01  2.5625995E+02 
  3.4568225E+10  2.2099999E-01  2.5623999E+02 
  3.4829459E+10  2.2099999E-01  2.5622998E+02 
  3.5015025E+10  2.2099999E-01  2.5623999E+02 
  3.5170984E+10  2.2099999E-01  2.5621997E+02 
  3.5393315E+10  2.2099999E-01  2.5623999E+02 
  3.5601351E+10  2.2199997E-01  2.5625000E+02 
  3.5754131E+10  2.2199997E-01  2.5623999E+02 
  3.6207280E+10  2.2299999E-01  2.5621997E+02 
  3.6381491E+10  2.2299999E-01  2.5622998E+02 
  3.6616856E+10  2.2399998E-01  2.5621997E+02 
  3.6759437E+10  2.2399998E-01  2.5621997E+02 
  3.6944388E+10  2.2399998E-01  2.5620996E+02 
  3.7205623E+10  2.2399998E-01  2.5622998E+02 
  3.7375918E+10  2.2499999E-01  2.5623999E+02 
  3.7569217E+10  2.2499999E-01  2.5622998E+02 
  3.7797929E+10  2.2499999E-01  2.5621997E+02 
  3.8037750E+10  2.2599998E-01  2.5620996E+02 
  3.8198813E+10  2.2599998E-01  2.5622998E+02 
  3.8416400E+10  2.2599998E-01  2.5620996E+02 
  3.8585991E+10  2.2599998E-01  2.5621997E+02 
  3.9055909E+10  2.2700000E-01  2.5621997E+02 
  3.9363887E+10  2.2700000E-01  2.5621997E+02 
  3.9622509E+10  2.2799999E-01  2.5619995E+02 
  3.9744610E+10  2.2799999E-01  2.5619995E+02 
  3.9968809E+10  2.2799999E-01  2.5618994E+02 
  4.0213799E+10  2.2799999E-01  2.5616998E+02 
  4.0386806E+10  2.2799999E-01  2.5619995E+02 
  4.0573665E+10  2.2799999E-01  2.5622998E+02 
  4.0823595E+10  2.2899997E-01  2.5621997E+02 
  4.0991547E+10  2.2899997E-01  2.5622998E+02 
  4.1167249E+10  2.2899997E-01  2.5619995E+02 
  4.1452921E+10  2.2899997E-01  2.5620996E+02 
  4.1781723E+10  2.2899997E-01  2.5618994E+02 
  4.2039935E+10  2.2899997E-01  2.5617999E+02 
  4.2213368E+10  2.2899997E-01  2.5621997E+02 
  4.2385637E+10  2.2899997E-01  2.5619995E+02 
  4.2659160E+10  2.2899997E-01  2.5621997E+02 
  4.2815873E+10  2.2899997E-01  2.5619995E+02 
  4.2988429E+10  2.2899997E-01  2.5618994E+02 
  4.3232444E+10  2.2899997E-01  2.5625000E+02 
  4.3405214E+10  2.2899997E-01  2.5623999E+02 
  4.3583807E+10  2.2899997E-01  2.5618994E+02 
  4.3835318E+10  2.2899997E-01  2.5620996E+02 
  4.4011569E+10  2.2799999E-01  2.5620996E+02 
  4.4166758E+10  2.2799999E-01  2.5618994E+02 
  4.4513772E+10  2.2799999E-01  2.5620996E+02 
  4.4628214E+10  2.2799999E-01  2.5618994E+02 
  4.5055508E+10  2.2700000E-01  2.5619995E+02 
  4.5243007E+10  2.2700000E-01  2.5620996E+02 
  4.5428924E+10  2.2700000E-01  2.5619995E+02 
  4.5651288E+10  2.2700000E-01  2.5620996E+02 
